Kalman: Yes, Frame: 30, Points: [[-1, -22, -229], [19, -22, -229], [-1, -2, -229], [19, -2, -229], [-1, -22, -209], [19, -22, -209], [-1, -2, -209], [19, -2, -209]]
Kalman: No, Frame: 30, Points: [[-5, -20, -220], [15, -20, -220], [-5, 0, -220], [15, 0, -220], [-5, -20, -200], [15, -20, -200], [-5, 0, -200], [15, 0, -200]]
Kalman: Yes, Frame: 31, Points: [[-2, -21, -229], [18, -21, -229], [-2, -1, -229], [18, -1, -229], [-2, -21, -209], [18, -21, -209], [-2, -1, -209], [18, -1, -209]]
Kalman: No, Frame: 31, Points: [[-5, -21, -226], [15, -21, -226], [-5, -1, -226], [15, -1, -226], [-5, -21, -206], [15, -21, -206], [-5, -1, -206], [15, -1, -206]]
Kalman: Yes, Frame: 32, Points: [[-2, -21, -228], [18, -21, -228], [-2, -1, -228], [18, -1, -228], [-2, -21, -208], [18, -21, -208], [-2, -1, -208], [18, -1, -208]]
Kalman: No, Frame: 32, Points: [[-6, -21, -221], [14, -21, -221], [-6, -1, -221], [14, -1, -221], [-6, -21, -201], [14, -21, -201], [-6, -1, -201], [14, -1, -201]]
Kalman: Yes, Frame: 33, Points: [[-2, -21, -229], [18, -21, -229], [-2, -1, -229], [18, -1, -229], [-2, -21, -209], [18, -21, -209], [-2, -1, -209], [18, -1, -209]]
Kalman: No, Frame: 33, Points: [[-6, -22, -234], [14, -22, -234], [-6, -2, -234], [14, -2, -234], [-6, -22, -214], [14, -22, -214], [-6, -2, -214], [14, -2, -214]]
Kalman: Yes, Frame: 34, Points: [[-3, -21, -228], [17, -21, -228], [-3, -1, -228], [17, -1, -228], [-3, -21, -208], [17, -21, -208], [-3, -1, -208], [17, -1, -208]]
Kalman: No, Frame: 34, Points: [[-6, -22, -220], [14, -22, -220], [-6, -2, -220], [14, -2, -220], [-6, -22, -200], [14, -22, -200], [-6, -2, -200], [14, -2, -200]]
